uqifllhkqn;siwqjc2pb3;Spanish;42;227;9724
mavlscithc;e9savzeel0;Turkish;41;221;9440
xlacanwgpc;h9lutwkaui;Spanish;18;95;4293
bkrfrazvih;akz9by769w;Italian;38;199;8442
lmrmhhowni;lfsfaky6k4;Italian;4;11;506
bxwxcitvua;jfgumadsk1;Turkish;21;112;4735
sflhrwhwrc;zd3kpoyct2;Italian;65;354;15384
nedzhseybm;cxq3ufxb5u;Italian;43;222;9724
engzmrqdmo;4k8zqcxcx5;German;53;286;12353
sumyeeknmb;l753s4ss3i;Spanish;44;238;9789
yggtmliaww;17dfh8s0md;Turkish;25;133;5844
wbjdgshtsz;kshrib2lcx;German;32;176;7605
scfnrtlyiy;lxtq79nmoj;Turkish;13;69;3090
bxjqlmfxpw;pbz7lw638h;Italian;57;307;13383
qtfdzvcgpg;x4pwb1nkii;Spanish;46;251;10981
wilpfuunon;muqlslmswe;Turkish;25;138;5960
zgrhnwmsha;oe2qs60gr6;Spanish;4;21;967
eriheizedc;h5dfos9har;Turkish;63;356;15248
rvaaqilojl;vl2wwds12n;German;13;56;2408
bkxvvmymrh;upy8kfqovi;Turkish;74;404;17630
dmeedqglyr;sdx7rhlsi4;Turkish;85;479;20911
wghvbdxiyg;sbe9m9zbqt;Spanish;42;224;9458
dpeapthxfy;7pnw94c18e;German;70;385;16748
oeectnfdkd;q9l11umh71;Italian;9;38;1557
nhkbqkdiik;9igrthx9rx;Spanish;14;76;3163
foywzubmyi;nf9fbpx6pm;German;30;163;7230
zouuofxsxe;oth4824rjl;Turkish;55;315;13353
trcxoetrlc;vxa65gf3cz;Italian;39;206;9040
nqboobllbl;dsrmwy5yel;Italian;2;8;382
iqfidewffq;u5jv6xwg42;Italian;18;88;3893
ahscxlcahi;a4rtm4sunp;Turkish;74;402;16937
ngbjcuygdw;l0nz5hw7kd;German;76;426;18625
jtcoucqyhq;m9l8z9iz36;Turkish;3;7;316
vvisacahlw;rh7eahf80l;Turkish;20;106;4766
udspfhjrwy;p329czl486;Turkish;71;396;16804
ccxgtnopuz;dchogeg16s;Italian;21;110;4685
uitmywlpbp;0ltfdcw4gz;Spanish;17;83;3742
neszbszeqn;patrjgnc4f;German;14;60;2520
slzodnxccl;xxscr81v9t;Spanish;59;326;14456
ecpzcmdlok;ybnx5fcuaq;Turkish;46;250;10651
akslglxwyy;0kwtjwjgca;German;74;412;18568
vnhlycjnsb;l5ididz10o;Italian;77;422;17826
ctqopehddw;i6t349xrs4;Turkish;59;335;13776
lshrdpntqq;qs36k4hoo6;Italian;74;398;16795
verodgmfgk;mmtlv4d7g6;Spanish;63;348;14876
hbfyblckgr;8kvfyxzfhb;German;69;376;16368
xyhzadssbo;21ulrohhlt;German;30;166;6939
ejsfybzkdc;i1cispkl6p;Turkish;38;205;8720
ezxccpgsvw;l9rzz7hs7z;Italian;85;464;19483
catxavcqyt;xf65hk92p4;Italian;85;464;19794
jiteuvzwfw;m94256irly;Italian;27;132;5626
qaikfotgev;shg6v7dfrw;Spanish;8;42;1958
jbgtycykyx;tx4fzx8p1p;German;86;475;20277
wkjykubytn;qmqfq57c8d;German;56;319;14187
wxgbhnmcds;v5fmvsnikz;German;18;83;3722
vwrdzwrham;q4a61z2iw6;Spanish;30;162;6867
sulteiayor;e3bobgk2jy;Turkish;40;217;9102
ifyowpwywh;ijnqszmdbc;Spanish;3;15;643
qgvcwunjmx;hyhb0b7uwx;Italian;41;215;9511
wukobaudzq;3v3hlt47zl;Italian;38;202;8503
hcidmjetcu;ii967rk1hw;Spanish;51;286;12722
ptxzutyzom;4nd7l4c3nl;German;40;227;9750
zsubhwsfxe;rfn8uziecm;Spanish;63;352;15312
xutgkudesn;mjj22id0sj;German;94;524;22395
dsvaevtgos;f6m5cr9fj2;Spanish;45;244;10884
vbjltwsigc;mh93bninti;German;36;204;8706
fanwhvvfem;afpop6r2kr;German;90;507;22032
akidnuknas;078i5i2kk0;German;20;95;4179
